Datetime,open,close,high,low,volume,float,StockSymbol
7/28/2000,100,100,100,100,4200,70400000,VNINDEX
7/31/2000,101.550003,101.550003,101.550003,101.550003,10300,176890000,VNINDEX
08/02/2000,103.379997,103.379997,103.379997,103.379997,300,5160000,VNINDEX
08/04/2000,105.199997,105.199997,105.199997,105.199997,3700,62600000,VNINDEX
08/07/2000,106.919998,106.919998,106.919998,106.919998,13100,229190000,VNINDEX
08/09/2000,108.639999,108.639999,108.639999,108.639999,15900,288329984,VNINDEX
08/11/2000,110.360001,110.360001,110.360001,110.360001,13600,240280000,VNINDEX
8/14/2000,112.080002,112.080002,112.080002,112.080002,11700,212580000,VNINDEX
8/16/2000,113.800003,113.800003,113.800003,113.800003,23000,423830016,VNINDEX
8/18/2000,115.519997,115.519997,115.519997,115.519997,10300,196570000,VNINDEX
8/21/2000,117.239998,117.239998,117.239998,117.239998,35500,695560000,VNINDEX
8/23/2000,118.959999,118.959999,118.959999,118.959999,111400,2208699904,VNINDEX
8/25/2000,118.839996,118.839996,118.839996,118.839996,95200,1919469952,VNINDEX
8/28/2000,117,117,117,117,97900,1915040000,VNINDEX
8/30/2000,115.150002,115.150002,115.150002,115.150002,126500,2478799872,VNINDEX
09/01/2000,113.370003,113.370003,113.370003,113.370003,96600,1840189952,VNINDEX
09/06/2000,112.510002,112.510002,112.510002,112.510002,60900,1176380032,VNINDEX
09/08/2000,112.389999,112.389999,112.389999,112.389999,49500,895569984,VNINDEX
09/11/2000,114.110001,114.110001,114.110001,114.110001,31300,566019968,VNINDEX
9/13/2000,116.080002,116.080002,116.080002,116.080002,18400,369140000,VNINDEX
9/15/2000,118.040001,118.040001,118.040001,118.040001,45900,867059968,VNINDEX
9/18/2000,118.190002,118.190002,118.190002,118.190002,64600,1328659968,VNINDEX
9/20/2000,118.209999,118.209999,118.209999,118.209999,41600,845360000,VNINDEX
9/22/2000,118.760002,118.760002,118.760002,118.760002,66900,1377859968,VNINDEX
9/25/2000,118.980003,118.980003,118.980003,118.980003,56600,1165229952,VNINDEX
