Datetime,open,close,high,low,volume,float,StockSymbol
16/07/2007,14.73435974,14.68372631,14.73435974,14.68372631,374810,91215344,FPT
17/07/2007,14.68372631,14.68372631,14.68372631,14.68372631,464320,91215344,FPT
18/07/2007,14.68372631,14.5824585,14.68372631,14.5824585,532830,91215344,FPT
19/07/2007,14.5824585,14.4305582,14.5824585,14.4305582,170180,91215344,FPT
20/07/2007,14.4305582,14.32929134,14.48119164,14.32929134,339690,91215344,FPT
23/07/2007,14.12675667,13.77232265,14.12675667,13.77232265,246160,91215344,FPT
24/07/2007,13.80276966,13.54904175,13.80276966,13.54904175,375620,91215344,FPT
25/07/2007,13.19382381,12.94009686,13.19382381,12.94009686,411820,91215344,FPT
26/07/2007,12.68636894,12.68636894,12.68636894,12.68636894,393930,91215344,FPT
27/07/2007,12.68636894,12.68636894,12.68636894,12.68636894,373240,91215344,FPT
30/07/2007,12.83860588,12.83860588,13.04158783,12.83860588,284820,91215344,FPT
31/07/2007,12.78785992,12.43264198,12.78785992,12.28040504,323490,91215344,FPT
01/08/2007,12.43264198,12.17891407,12.43264198,12.0774231,448440,91215344,FPT
02/08/2007,12.0774231,11.56996822,12.17891407,11.56996822,336310,91215344,FPT
03/08/2007,11.01176834,11.01176834,11.16400433,11.01176834,591930,91215344,FPT
06/08/2007,11.01176834,11.06251335,11.16400433,11.01176834,290560,91215344,FPT
07/08/2007,11.31624126,11.56996822,11.56996822,11.31624126,249130,91215344,FPT
08/08/2007,11.6714592,12.12816906,12.12816906,11.6714592,542430,91215344,FPT
09/08/2007,12.48338699,12.68636894,12.68636894,12.43264198,537810,91215344,FPT
10/08/2007,12.43264198,12.17891407,12.43264198,12.12816906,507630,91215344,FPT
13/08/2007,11.77295017,11.72220516,11.92518711,11.6714592,361290,92352576,FPT
14/08/2007,11.72220516,11.92518711,11.92518711,11.72220516,246630,92352576,FPT
15/08/2007,11.6714592,11.6714592,11.77295017,11.62071419,192850,92352576,FPT
16/08/2007,11.46847725,11.31624126,11.56996822,11.31624126,346180,92352576,FPT
17/08/2007,11.16400433,11.16400433,11.2654953,11.06251335,484890,92352576,FPT
20/08/2007,11.16400433,11.41773224,11.41773224,11.16400433,200790,92352576,FPT
21/08/2007,11.51922321,11.51922321,11.6714592,11.51922321,216400,92352576,FPT
22/08/2007,11.6714592,11.62071419,11.72220516,11.51922321,309370,92352576,FPT
23/08/2007,11.62071419,11.41773224,11.62071419,11.41773224,225450,92352576,FPT
24/08/2007,11.51922321,11.6714592,11.6714592,11.41773224,334530,92352576,FPT
27/08/2007,11.6714592,11.46847725,11.6714592,11.36698627,220710,92352576,FPT
28/08/2007,11.46847725,11.46847725,11.46847725,11.36698627,164380,92352576,FPT
29/08/2007,11.41773224,11.46847725,11.46847725,11.36698627,124920,92352576,FPT
30/08/2007,11.41773224,11.41773224,11.46847725,11.36698627,261390,92352576,FPT
31/08/2007,11.41773224,11.41773224,11.51922321,11.36698627,229880,92352576,FPT
04/09/2007,11.41773224,11.62071419,11.62071419,11.41773224,176260,92352576,FPT
05/09/2007,11.46847725,11.41773224,11.62071419,11.41773224,397330,92352576,FPT
06/09/2007,11.41773224,11.41773224,11.51922321,11.41773224,128330,92352576,FPT
